Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Requested Part Number,Image,EXT_Price,Link
1,SM02B-GHS-TB,JST Sales America Inc.,CONN HEADER SMD R/A 2POS 1.25MM,,455-1564-2-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/611/SM02B-GHS-TB%28LF%29%28SN%29_web%28640x640%29.jpg,.35,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM02B-GHS-TB/807786,
2,GRM31CR60J107MEA8L,Murata Electronics,CAP CER 100UF 6.3V X5R 1206,,490-GRM31CR60J107MEA8LTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5447/490-Ceramic-Capacitor-Tan-Field.jpg,.46,https://www.digikey.com/en/products/detail/murata-electronics/GRM31CR60J107MEA8L/13904956,
3,GCM188L81H104KA57J,Murata Electronics,CAP CER 0.1UF 50V X8L 0603,,490-GCM188L81H104KA57JTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5447/490-Ceramic-Capacitor-Tan-Field.jpg,.48,https://www.digikey.com/en/products/detail/murata-electronics/GCM188L81H104KA57J/17846871,
4,CL10A475MQ5LNNC,Samsung Electro-Mechanics,CAP CER 4.7UF 6.3V X5R 0603,,1276-1906-2-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/Ceramic-Capacitor-CL-Series.jpg,.32,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475MQ5LNNC/3887564,
5,14275,SparkFun Electronics,RASPBERRYPI GPIO MALE HEADER,,1568-14275-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2287/MFG_PRT-14275.jpg,1.10,https://www.digikey.com/en/products/detail/sparkfun-electronics/14275/7428264,
6,112I-TA01,ATTEND Technology,CONN MICROSD CARD R/A SMD,,4827-112I-TA01TR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5351/MFG_112I-TA01.jpg,1.89,https://www.digikey.com/en/products/detail/attend-technology/112I-TA01/19234716,
7,RMCF0603FG10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/10W 0603,,738-RMCF0603FG10K0TR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/238/576/MFG_RMCF_series_web%28640x640%29.jpg,.21,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FG10K0/1761236,
8,RC0603FR-10100RL,YAGEO,RES 100 OHM 1% 1/10W 0603,,13-RC0603FR-10100RLTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg,.10,https://www.digikey.com/en/products/detail/yageo/RC0603FR-10100RL/12756390,
9,PCM12SMTR,C&K,SWITCH SLIDE SPDT 300MA 6V,,401-2016-2-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/PCM12SMTR.JPG,1.28,https://www.digikey.com/en/products/detail/c-k/PCM12SMTR/1640112,
10,MX2A-E1NW,Cherry Americas LLC,SWITCH TACTILE,,1644-MX2A-E1NW-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/229/040/MFG_MX2A-E1NW_web%28640x640%29.jpg,7.90,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010671/26553873,
11,102010671,"Seeed Technology Co., Ltd",XIAO ESP32S3 PLUS,,1597-102010671-ND,,2.12,https://www.digikey.com/en/products/detail/inolux/IN-PI20TATPRPGPB/14555738,
12,IN-PI20TATPRPGPB,Inolux,TOP MOUNT / 2020 / 2.0 X 2.0 X 0,,1830-IN-PI20TATPRPGPBTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/238/958/IN-PI20TATPRPGPB_web%28640x640%29.jpg,5.12,https://www.digikey.com/en/products/detail/stmicroelectronics/MP34DT06JTR/9605993,
13,MP34DT06JTR,STMicroelectronics,MIC MEMS DIGITAL PDM OMNI -26DB,,497-18180-2-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/692/MFG_IMP34DT05TR_View-2.jpg,3.50,https://www.digikey.com/en/products/detail/cherry-americas-llc/MX2A-E1NW/21738396,
